epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4463,1.24113,1.90165,1.09417,0.90244,0.42105,0.54851,0.32408,1.17324,1.93789,1.07269,0.000548355,0.000548355,0.000548355
2,29.1896,1.22197,1.27325,1.0946,0.69431,0.68913,0.68925,0.41691,1.17115,1.19235,1.1115,0.00106759,0.00106759,0.00106759
3,42.7157,1.19028,1.17162,1.08428,0.54541,0.84083,0.81452,0.48995,1.09544,1.91378,1.05731,0.00155015,0.00155015,0.00155015
4,55.963,1.21348,1.10751,1.08811,0.82069,0.61303,0.77513,0.48494,1.18026,1.23221,1.06711,0.00150197,0.00150197,0.00150197
5,69.1855,1.14595,1.05516,1.06809,0.83042,0.90257,0.92758,0.5968,1.15105,0.87053,1.03592,0.00144696,0.00144696,0.00144696
6,82.3682,1.12934,0.9563,1.0597,0.80805,0.83298,0.88202,0.56176,1.04978,0.89386,1.03614,0.00139195,0.00139195,0.00139195
7,95.6032,1.13404,0.9415,1.0644,0.84865,0.85543,0.92712,0.59411,1.09501,0.80177,1.02517,0.00133693,0.00133693,0.00133693
8,108.957,1.11107,0.86701,1.05042,0.93941,0.89475,0.916,0.60498,1.05727,0.7798,1.01374,0.00128192,0.00128192,0.00128192
9,122.138,1.08643,0.87757,1.05868,0.71294,0.6645,0.747,0.48113,1.09105,1.06286,1.02063,0.00122691,0.00122691,0.00122691
10,135.313,1.08372,0.8518,1.05322,0.94252,0.84046,0.89663,0.5736,1.06674,0.84429,1.00997,0.0011719,0.0011719,0.0011719
11,148.47,1.05535,0.86927,1.04723,0.90264,0.87432,0.94764,0.59437,1.04881,0.74899,1.00656,0.00111689,0.00111689,0.00111689
12,161.661,1.05984,0.80858,1.03755,0.94469,0.90905,0.9556,0.61817,1.04844,0.70059,1.0087,0.00106188,0.00106188,0.00106188
13,174.973,1.04869,0.8196,1.04509,0.94034,0.89933,0.94036,0.6153,1.02981,0.6979,1.00281,0.00100687,0.00100687,0.00100687
14,188.197,1.02692,0.77351,1.03488,0.93033,0.91573,0.96431,0.62236,1.00881,0.66547,1.00723,0.000951857,0.000951857,0.000951857
15,201.404,1.02193,0.76582,1.0354,0.94863,0.921,0.96033,0.64517,0.99762,0.66468,1.00434,0.000896846,0.000896846,0.000896846
16,214.582,1.03515,0.77476,1.03464,0.93394,0.921,0.95264,0.64057,1.00312,0.6629,1.00069,0.000841835,0.000841835,0.000841835
17,227.779,1.01842,0.76643,1.02767,0.89549,0.85641,0.92463,0.59817,1.02191,0.71668,1.00922,0.000786824,0.000786824,0.000786824
18,241.046,0.99646,0.74302,1.02528,0.9458,0.9027,0.96344,0.62629,1.00466,0.65016,1.00022,0.000731813,0.000731813,0.000731813
19,254.228,0.99946,0.76237,1.02581,0.95866,0.94326,0.97643,0.63187,0.98433,0.62714,0.99653,0.000676802,0.000676802,0.000676802
20,267.451,0.97244,0.7072,1.01971,0.95089,0.86362,0.95325,0.62343,0.98202,0.67445,0.9994,0.000621791,0.000621791,0.000621791
21,280.447,0.92764,0.66546,1.02538,0.93126,0.921,0.9702,0.64031,1.02938,0.63509,0.99961,0.00056678,0.00056678,0.00056678
22,292.968,0.92929,0.65976,1.022,0.94505,0.93914,0.9733,0.637,0.97318,0.6256,0.99639,0.000511769,0.000511769,0.000511769
23,305.481,0.92712,0.63394,1.03068,0.95468,0.93627,0.979,0.65877,0.97674,0.6106,1.00111,0.000456758,0.000456758,0.000456758
24,318.05,0.89675,0.63786,1.0202,0.95068,0.96074,0.98399,0.65588,0.95717,0.6325,0.99423,0.000401747,0.000401747,0.000401747
25,330.463,0.91618,0.61786,1.02004,0.9569,0.9049,0.97118,0.65811,0.96207,0.63231,0.99577,0.000346736,0.000346736,0.000346736
26,342.884,0.88226,0.62517,1.01191,0.96186,0.93698,0.97875,0.64718,0.94944,0.61287,1.00326,0.000291725,0.000291725,0.000291725
27,355.447,0.87453,0.60697,1.00943,0.95713,0.95463,0.97605,0.63803,0.94083,0.61279,1.00223,0.000236714,0.000236714,0.000236714
28,367.963,0.88088,0.59157,1.01466,0.94911,0.95726,0.9818,0.65395,0.94941,0.59167,0.98805,0.000181703,0.000181703,0.000181703
29,380.442,0.86332,0.58961,1.00696,0.94718,0.95753,0.97551,0.65452,0.90889,0.60052,0.9828,0.000126692,0.000126692,0.000126692
30,392.925,0.85959,0.58946,1.00405,0.96689,0.95746,0.97869,0.66055,0.921,0.58292,0.98832,7.1681e-05,7.1681e-05,7.1681e-05
