epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4737,1.06225,0.94224,1.09606,0.95309,0.91454,0.96933,0.63427,0.9702,0.62414,1.00033,0.000548972,0.000548972,0.000548972
2,48.4019,1.08973,0.9557,1.10475,0.944,0.89986,0.95065,0.60909,1.03909,0.70788,1.03161,0.00106819,0.00106819,0.00106819
3,70.992,1.12673,0.97925,1.12337,0.94108,0.86717,0.94032,0.61572,0.96862,0.70341,1.00366,0.00155073,0.00155073,0.00155073
4,92.92,1.10371,0.94308,1.10136,0.69617,0.54843,0.712,0.41953,1.19841,3.19562,1.15643,0.00150197,0.00150197,0.00150197
5,114.342,1.1366,0.94842,1.11835,0.90682,0.81851,0.95053,0.61384,1.09456,0.7823,1.02675,0.00144696,0.00144696,0.00144696
6,135.757,1.11683,0.96101,1.10826,0.95669,0.91918,0.96153,0.6135,1.01179,0.71866,1.00786,0.00139195,0.00139195,0.00139195
7,157.266,1.09824,0.9074,1.10295,0.94491,0.921,0.96683,0.61867,1.0507,0.671,1.0382,0.00133693,0.00133693,0.00133693
8,179.349,1.09295,0.8652,1.09889,0.94405,0.92176,0.96274,0.63288,0.97934,0.67514,1.00364,0.00128192,0.00128192,0.00128192
9,201.907,1.07031,0.86975,1.08443,0.94996,0.8964,0.95265,0.63659,0.99762,0.70575,1.0357,0.00122691,0.00122691,0.00122691
10,224.598,1.06219,0.87016,1.09629,0.93604,0.88996,0.94516,0.62369,1.01376,0.67555,1.01495,0.0011719,0.0011719,0.0011719
11,247.314,1.04857,0.88772,1.09466,0.95237,0.95998,0.96957,0.6352,0.96443,0.64364,1.00352,0.00111689,0.00111689,0.00111689
12,269.128,1.06173,0.85002,1.08318,0.9335,0.95989,0.97636,0.61388,1.02177,0.62212,1.02761,0.00106188,0.00106188,0.00106188
13,291.099,1.08277,0.83581,1.09539,0.92358,0.89245,0.9445,0.621,1.0204,0.63028,1.00665,0.00100687,0.00100687,0.00100687
