epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.341,1.06225,0.94224,1.09606,0.95309,0.91454,0.96933,0.63427,0.9702,0.62414,1.00033,0.000548972,0.000548972,0.000548972
2,45.5348,1.08973,0.9557,1.10475,0.944,0.89986,0.95065,0.60909,1.03909,0.70788,1.03161,0.00106819,0.00106819,0.00106819
3,67.1662,1.12673,0.97925,1.12337,0.94108,0.86717,0.94032,0.61572,0.96862,0.70341,1.00366,0.00155073,0.00155073,0.00155073
4,88.7286,1.10371,0.94308,1.10136,0.69617,0.54843,0.712,0.41953,1.19841,3.19562,1.15643,0.00150197,0.00150197,0.00150197
5,110.164,1.1366,0.94842,1.11835,0.90682,0.81851,0.95053,0.61384,1.09456,0.7823,1.02675,0.00144696,0.00144696,0.00144696
6,131.566,1.11683,0.96101,1.10826,0.95669,0.91918,0.96153,0.6135,1.01179,0.71866,1.00786,0.00139195,0.00139195,0.00139195
7,153.187,1.09824,0.9074,1.10295,0.94491,0.921,0.96683,0.61867,1.0507,0.671,1.0382,0.00133693,0.00133693,0.00133693
8,175.072,1.09295,0.8652,1.09889,0.94405,0.92176,0.96274,0.63288,0.97934,0.67514,1.00364,0.00128192,0.00128192,0.00128192
9,196.394,1.07031,0.86975,1.08443,0.94996,0.8964,0.95265,0.63659,0.99762,0.70575,1.0357,0.00122691,0.00122691,0.00122691
10,217.78,1.06219,0.87016,1.09629,0.93604,0.88996,0.94516,0.62369,1.01376,0.67555,1.01495,0.0011719,0.0011719,0.0011719
11,239.326,1.04857,0.88772,1.09466,0.95237,0.95998,0.96957,0.6352,0.96443,0.64364,1.00352,0.00111689,0.00111689,0.00111689
12,260.947,1.06173,0.85002,1.08318,0.9335,0.95989,0.97636,0.61388,1.02177,0.62212,1.02761,0.00106188,0.00106188,0.00106188
13,282.354,1.08277,0.83581,1.09539,0.92358,0.89245,0.9445,0.621,1.0204,0.63028,1.00665,0.00100687,0.00100687,0.00100687
14,303.864,1.02827,0.80776,1.071,0.95894,0.9046,0.96897,0.64526,0.97986,0.64277,1.0029,0.000951857,0.000951857,0.000951857
15,325.301,1.05225,0.83313,1.10078,0.95919,0.91623,0.96603,0.63695,0.94908,0.63749,0.99221,0.000896846,0.000896846,0.000896846
16,346.712,1.03182,0.81607,1.07332,0.96351,0.91327,0.95878,0.63705,0.94629,0.67999,0.99155,0.000841835,0.000841835,0.000841835
17,368.134,1.02317,0.81528,1.07449,0.93113,0.9256,0.97574,0.61957,0.985,0.65178,1.00861,0.000786824,0.000786824,0.000786824
18,389.624,0.9903,0.80398,1.06674,0.94924,0.94735,0.96986,0.64066,0.92817,0.62349,0.998,0.000731813,0.000731813,0.000731813
19,410.989,1.0003,0.7611,1.05879,0.95893,0.94177,0.9706,0.62868,0.94467,0.60137,0.99238,0.000676802,0.000676802,0.000676802
20,432.412,0.98935,0.79743,1.06903,0.95378,0.92137,0.97557,0.64478,0.99853,0.58515,0.99591,0.000621791,0.000621791,0.000621791
21,453.417,0.92463,0.6555,1.03823,0.94887,0.95652,0.9716,0.6339,0.94956,0.59133,0.9984,0.00056678,0.00056678,0.00056678
22,474.411,0.93128,0.64527,1.05314,0.96541,0.90121,0.97585,0.64971,1.00623,0.62363,1.00654,0.000511769,0.000511769,0.000511769
23,495.928,0.90945,0.64882,1.04196,0.96379,0.96343,0.98218,0.66918,0.95892,0.57143,0.99186,0.000456758,0.000456758,0.000456758
24,517.333,0.88861,0.61759,1.04007,0.95383,0.93204,0.9772,0.67474,0.9295,0.58685,0.9835,0.000401747,0.000401747,0.000401747
25,538.894,0.88832,0.62243,1.0332,0.96121,0.92997,0.9765,0.66736,0.96312,0.5762,0.98618,0.000346736,0.000346736,0.000346736
26,560.081,0.88064,0.5978,1.02974,0.95732,0.96017,0.98243,0.67542,0.91402,0.57814,0.97975,0.000291725,0.000291725,0.000291725
27,581.385,0.8626,0.60133,1.02842,0.95525,0.95019,0.98089,0.66333,0.88339,0.60767,0.98426,0.000236714,0.000236714,0.000236714
28,602.789,0.86102,0.58368,1.0226,0.96493,0.9416,0.97851,0.67617,0.91068,0.58256,0.975,0.000181703,0.000181703,0.000181703
29,624.182,0.85328,0.56821,1.01932,0.96355,0.93882,0.97889,0.66462,0.89653,0.59604,0.97833,0.000126692,0.000126692,0.000126692
30,645.772,0.8432,0.56611,1.01846,0.96127,0.93247,0.96248,0.66137,0.89411,0.59055,0.97539,7.1681e-05,7.1681e-05,7.1681e-05
