epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1049,0.96964,0.73812,1.0119,0.95116,0.95373,0.97489,0.65601,1.00735,0.60106,0.99448,0.000548972,0.000548972,0.000548972
2,44.4658,1.02463,0.76518,1.02754,0.95777,0.96022,0.96548,0.60436,1.03773,0.66725,1.03719,0.00106819,0.00106819,0.00106819
3,65.5151,1.03331,0.76804,1.03061,0.93855,0.95034,0.96536,0.62886,1.0569,0.68592,1.01095,0.00155073,0.00155073,0.00155073
4,86.5532,1.03239,0.75994,1.02951,0.91004,0.90265,0.96565,0.63282,1.12895,0.73894,1.02016,0.00150197,0.00150197,0.00150197
5,107.613,1.06505,0.77306,1.04264,0.91959,0.88708,0.95766,0.63321,1.06065,0.66599,1.00789,0.00144696,0.00144696,0.00144696
6,129.014,1.04013,0.79403,1.03535,0.90482,0.7998,0.92469,0.60005,1.03627,0.77561,1.00447,0.00139195,0.00139195,0.00139195
7,151.387,1.04208,0.76637,1.03403,0.94825,0.95918,0.97522,0.63829,1.04027,0.64725,1.02617,0.00133693,0.00133693,0.00133693
8,173.745,1.03337,0.73607,1.03679,0.93888,0.93571,0.9724,0.64524,0.99748,0.64399,1.00622,0.00128192,0.00128192,0.00128192
9,194.887,1.0295,0.72422,1.02555,0.95389,0.91938,0.97254,0.60178,1.08061,0.66672,1.05875,0.00122691,0.00122691,0.00122691
10,215.895,1.00342,0.71482,1.03048,0.95126,0.88548,0.9693,0.6304,1.01911,0.68222,1.01495,0.0011719,0.0011719,0.0011719
11,237.034,0.9923,0.71491,1.0338,0.94772,0.91689,0.96019,0.64456,0.9939,0.63899,1.01276,0.00111689,0.00111689,0.00111689
