epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5496,0.94574,0.75716,0.99731,0.94956,0.95203,0.95568,0.63931,1.03681,0.64037,1.01959,0.000551754,0.000551754,0.000551754
2,111.558,0.99502,0.73972,1.01243,0.96506,0.96044,0.96155,0.61327,1.03081,0.62791,1.02267,0.00107088,0.00107088,0.00107088
3,166.03,0.9928,0.74372,1.00947,0.85664,0.92748,0.96734,0.63505,1.03577,0.74196,1.00808,0.00155332,0.00155332,0.00155332
4,220.654,1.02079,0.82339,1.02468,0.8344,0.67717,0.9321,0.61092,1.09367,1.05491,1.01654,0.00150197,0.00150197,0.00150197
5,275.278,1.00362,0.75552,1.01109,0.94537,0.88396,0.90737,0.5834,1.02943,0.78568,1.01351,0.00144696,0.00144696,0.00144696
6,330.011,1.0021,0.74284,1.01325,0.93324,0.92209,0.95511,0.64449,1.04071,0.68904,1.00991,0.00139195,0.00139195,0.00139195
7,384.033,0.98295,0.7424,1.00656,0.95997,0.95611,0.96515,0.61388,1.00396,0.69853,1.01593,0.00133693,0.00133693,0.00133693
8,438.875,0.96444,0.70466,1.00309,0.95021,0.9122,0.95458,0.61687,1.00215,0.66192,1.01885,0.00128192,0.00128192,0.00128192
9,494.102,0.94059,0.67651,0.99948,0.95885,0.96667,0.97958,0.6561,1.0234,0.61538,1.00861,0.00122691,0.00122691,0.00122691
10,549.069,0.94748,0.6681,1.00026,0.95506,0.91398,0.95554,0.63126,0.99272,0.66378,1.01185,0.0011719,0.0011719,0.0011719
11,604.478,0.96456,0.66234,0.99993,0.95532,0.95142,0.96769,0.64938,1.02044,0.59254,0.99647,0.00111689,0.00111689,0.00111689
12,660.366,0.91867,0.65412,0.98985,0.95366,0.95531,0.96791,0.64333,1.00938,0.61264,1.00598,0.00106188,0.00106188,0.00106188
13,716.085,0.92399,0.65479,0.99488,0.96465,0.93563,0.9717,0.64718,0.9847,0.6078,1.01998,0.00100687,0.00100687,0.00100687
14,771.097,0.91369,0.64073,0.99091,0.948,0.90764,0.97042,0.62762,1.00502,0.65079,1.01446,0.000951857,0.000951857,0.000951857
15,826.322,0.89877,0.61697,0.98848,0.94748,0.96373,0.97434,0.6396,0.99413,0.58233,1.00427,0.000896846,0.000896846,0.000896846
16,882.046,0.9008,0.61999,0.98722,0.92935,0.95034,0.96895,0.65841,1.01548,0.58706,1.01306,0.000841835,0.000841835,0.000841835
17,937.497,0.90125,0.61875,0.98856,0.94672,0.90636,0.96499,0.6533,0.95887,0.61257,0.99411,0.000786824,0.000786824,0.000786824
18,992.439,0.86564,0.59345,0.97927,0.95767,0.9372,0.98071,0.65349,1.02209,0.55748,1.0053,0.000731813,0.000731813,0.000731813
19,1047.27,0.88226,0.59707,0.98268,0.96128,0.97018,0.98387,0.64332,0.98526,0.5736,1.00741,0.000676802,0.000676802,0.000676802
20,1102.31,0.84855,0.58126,0.97733,0.96071,0.94801,0.9812,0.64849,1.00633,0.5529,1.00173,0.000621791,0.000621791,0.000621791
21,1156.68,0.79889,0.49124,0.97082,0.96943,0.95732,0.98675,0.66688,0.98622,0.57126,0.9972,0.00056678,0.00056678,0.00056678
22,1210.85,0.78691,0.50628,0.96566,0.93467,0.95803,0.9734,0.645,0.99233,0.58198,1.00963,0.000511769,0.000511769,0.000511769
23,1264.95,0.77022,0.48556,0.96172,0.96598,0.97003,0.98566,0.66987,0.96617,0.53792,0.99948,0.000456758,0.000456758,0.000456758
24,1319.27,0.77387,0.47771,0.97033,0.9609,0.95242,0.98335,0.6627,0.95576,0.54905,1.00185,0.000401747,0.000401747,0.000401747
25,1373.34,0.75341,0.46627,0.95471,0.96337,0.95939,0.98668,0.66169,0.97195,0.53293,1.00014,0.000346736,0.000346736,0.000346736
26,1427.28,0.74485,0.45277,0.95735,0.96095,0.94298,0.98557,0.66849,0.96272,0.5405,1.00078,0.000291725,0.000291725,0.000291725
27,1481.62,0.73041,0.43482,0.95428,0.96303,0.96491,0.98715,0.66981,0.95008,0.52307,0.99583,0.000236714,0.000236714,0.000236714
28,1536.03,0.71569,0.43827,0.95142,0.96533,0.94412,0.98735,0.68538,0.93023,0.53935,0.98979,0.000181703,0.000181703,0.000181703
29,1590.26,0.70749,0.42975,0.95269,0.96707,0.96142,0.98726,0.68717,0.95462,0.50866,0.9972,0.000126692,0.000126692,0.000126692
30,1644.47,0.70506,0.42,0.9494,0.97021,0.95894,0.98744,0.68254,0.9465,0.51436,0.99533,7.1681e-05,7.1681e-05,7.1681e-05
